url,link_text,from_page_url
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,010 Once a week Volume X Dec 1863 to Jun 64.pdf,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,La ilustración española y americana 1870.pdf,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,WikipediaSchwesterprojekte.pdf,https://commons.wikimedia.org/wiki/Category:Wikis
https://commons.wikimedia.org/wiki/File:Logo_Wikiconvention_Francophone_square_2017.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Logo_Wikiconvention_Francophone_square_2017.pdf,Logo Wikiconvention Francophone square 2017.pdf,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Pr%C3%A9sentation_des_projets_wikimedia.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Pr%C3%A9sentation_des_projets_wikimedia.pdf,Présentation des projets wikimedia.pdf,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Visitenkarte.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Visitenkarte.pdf,Visitenkarte.pdf,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:WfP_Logo.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:WfP_Logo.pdf,WfP Logo.pdf,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Wiki-logo-big-de.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Wiki-logo-big-de.pdf,Wiki-logo-big-de.pdf,https://commons.wikimedia.org/wiki/Category:Wiki_logos
https://commons.wikimedia.org/wiki/File:Grundlagen_der_Mathematik.pdf,,https://commons.wikimedia.org/wiki/Category:Serlo
https://commons.wikimedia.org/wiki/File:Grundlagen_der_Mathematik.pdf,Grundlagen der Mathematik.pdf,https://commons.wikimedia.org/wiki/Category:Serlo
https://commons.wikimedia.org/wiki/File:Seminararbeit_%22Zu_Gast_in_Hilberts_Hotel%22_von_Natalie_Ritzer.pdf,,https://commons.wikimedia.org/wiki/Category:Serlo
https://commons.wikimedia.org/wiki/File:Seminararbeit_%22Zu_Gast_in_Hilberts_Hotel%22_von_Natalie_Ritzer.pdf,"Seminararbeit ""Zu Gast in Hilberts Hotel"" von Natalie Ritzer.pdf",https://commons.wikimedia.org/wiki/Category:Serlo
https://commons.wikimedia.org/wiki/File:CBBD_bibliotec%C3%A1rio_como_produtor_de_conte%C3%BAdo.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:CBBD_bibliotec%C3%A1rio_como_produtor_de_conte%C3%BAdo.pdf,CBBD bibliotecário como produtor de conteúdo.pdf,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Finn_%C3%85rup_Nielsen_-_Wikipedia_is_not_the_sum_of_all_human_knowledge_-_Wikimania_2010.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Finn_%C3%85rup_Nielsen_-_Wikipedia_is_not_the_sum_of_all_human_knowledge_-_Wikimania_2010.pdf,Finn Årup Nielsen - Wikipedia is not the sum of all human knowledge - Wikimania 2010.pdf,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:RELATORIO.FINAL.CATALISADOR.BRASIL.USD.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:RELATORIO.FINAL.CATALISADOR.BRASIL.USD.pdf,RELATORIO.FINAL.CATALISADOR.BRASIL.USD.pdf,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Wiki-Tech-Culture.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Wiki-Tech-Culture.pdf,Wiki-Tech-Culture.pdf,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Wikimedia_Commons_%E4%B8%8A%E4%BC%A0%E6%AD%A5%E9%AA%A4.pdf,,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:Wikimedia_Commons_%E4%B8%8A%E4%BC%A0%E6%AD%A5%E9%AA%A4.pdf,Wikimedia Commons 上传步骤.pdf,https://commons.wikimedia.org/wiki/Category:Wiki
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,010 Once a week Volume X Dec 1863 to Jun 64.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,La ilustración española y americana 1870.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,WikipediaSchwesterprojekte.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&printable=yes
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
https://commons.wikimedia.org/wiki/File:010_Once_a_week_Volume_X_Dec_1863_to_Jun_64.pdf,010 Once a week Volume X Dec 1863 to Jun 64.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
https://commons.wikimedia.org/wiki/File:La_ilustraci%C3%B3n_espa%C3%B1ola_y_americana_1870.pdf,La ilustración española y americana 1870.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
https://commons.wikimedia.org/wiki/File:WikipediaSchwesterprojekte.pdf,WikipediaSchwesterprojekte.pdf,https://commons.wikimedia.org/w/index.php?title=Category:Wikis&oldid=345771286
